区域,小区,总价,房型,面积,单价,朝向,楼层位置,装修情况,建筑时间,是否有电梯,产权类型,挂牌时间
思明,龙山山庄,596.0,2室1厅,91.5平米,65137,南西北,中楼层/共10层,平层/精装,2000年建/板楼 ,无,非共有 ,2021年11月23日 
思明,汇丰家园,318.0,1室1厅,38.14平米,83378,北南,低楼层/共11层,平层/简装,2005年建/板楼 ,有,非共有 ,2021年11月23日 
思明,禹洲世贸商城思明,315.0,1室1厅,51.33平米,61368,东,中楼层/共49层,暂无数据/简装,2008年建/塔楼 ,有,非共有 ,2021年11月23日 
思明,槟榔花园,480.0,2室1厅,71.75平米,66899,南北,中楼层/共8层,平层/简装,1990年建/塔楼 ,无,共有 ,2021年11月22日 
思明,明发国际新城,625.0,4室2厅,130.91平米,47743,东南,高楼层/共9层,平层/简装,2001年建/塔楼 ,有,非共有 ,2021年11月22日 
思明,莲景花园,500.0,2室1厅,59.46平米,84091,南北,低楼层/共7层,平层/简装,板楼 ,无,共有 ,2021年11月22日 
思明,福星花园,550.0,3室2厅,99.25平米,55416,南,低楼层/共7层,暂无数据/精装,板塔结合 ,无,共有 ,2021年11月22日 
思明,枫丹雅苑,716.0,2室1厅,96.38平米,74290,北,高楼层/共32层,平层/简装,2007年建/塔楼 ,有,共有 ,2021年11月22日 
思明,豆仔尾路,575.0,2室1厅,69.89平米,82273,南西北,中楼层/共7层,平层/简装,1993年建/板塔结合 ,无,非共有 ,2021年11月22日 
思明,珍珠湾花园,3300.0,5室3厅,357.43平米,92326,东南西北,低楼层/共3层,暂无数据/简装,2000年建/板塔结合 ,无,非共有 ,2021年11月22日 
思明,百源双玺,695.0,2室2厅,97.05平米,71613,南北,高楼层/共30层,平层/简装,2006年建/板塔结合 ,有,共有 ,2021年11月22日 
思明,湖滨南路,320.0,1室1厅,42.27平米,75704,东南北,中楼层/共7层,平层/简装,平房 ,无,非共有 ,2021年11月22日 
思明,育青路,585.0,3室1厅,68.3平米,85652,东南北,中楼层/共5层,暂无数据/精装,1984年建/板楼 ,无,非共有 ,2021年11月22日 
思明,瑞景新村寿鹤苑,830.0,4室2厅,151.49平米,54790,南北,高楼层/共6层,跃层/精装,1998年建/板楼 ,无,共有 ,2021年11月22日 
思明,源通中心,282.0,1室1厅,29.1平米,96908,北,中楼层/共31层,平层/精装,2004年建/塔楼 ,有,共有 ,2021年11月22日 
思明,石亭小区,478.0,2室1厅,60.01平米,79654,南,低楼层/共7层,平层/简装,1994年建/板楼 ,无,非共有 ,2021年11月22日 
思明,育秀里小区,720.0,3室1厅,84.17平米,85542,东南,中楼层/共7层,平层/精装,1993年建/塔楼 ,无,非共有 ,2021年11月22日 
思明,思明南路,1260.0,4室2厅,168.33平米,74853,南北,中楼层/共9层,平层/简装,1998年建/塔楼 ,有,共有 ,2021年11月22日 
思明,九龙城,420.0,3室2厅,59.32平米,70803,北,中楼层/共22层,跃层/精装,2006年建/塔楼 ,有,非共有 ,2021年11月22日 
思明,万寿路,550.0,2室1厅,69.85平米,78741,南北,高楼层/共8层,平层/精装,板楼 ,无,非共有 ,2021年11月22日 
思明,电化宿舍,578.0,2室1厅,76.6平米,75457,南北,高楼层/共8层,平层/简装,板楼 ,无,共有 ,2021年11月22日 
思明,屿后北里,498.0,3室1厅,83.41平米,59706,东西,中楼层/共7层,平层/简装,板楼 ,无,非共有 ,2021年11月22日 
思明,鹭江新城四期,699.0,3室1厅,86.91平米,80429,南,中楼层/共23层,暂无数据/精装,2004年建/板楼 ,有,非共有 ,2021年11月22日 
思明,紫荆园,328.0,2室1厅,40.73平米,80531,西南,中楼层/共13层,平层/精装,2000年建/塔楼 ,有,非共有 ,2021年11月22日 
思明,前埔南区文兴东二里,390.0,2室2厅,67.39平米,57873,南,中楼层/共7层,平层/精装,2000年建/板楼 ,无,共有 ,2021年11月22日 
思明,自然家园,450.0,3室1厅,77.17平米,58313,南北,低楼层/共18层,平层/精装,2003年建/板楼 ,有,共有 ,2021年11月22日 
