户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
3室2厅,中楼层/共33层,141.18,平层/其他,110.0,枫林,云岩区,南北,有,2021年12月15日 ,普通住宅 ,7792
3室2厅,高楼层/共33层,110.2,平层/其他,110.0,未来方舟G1组团,云岩区,南,有,2021年12月15日 ,普通住宅 ,9982
4室2厅,中楼层/共48层,127.72,暂无数据/毛坯,98.8,中国普天中央国际·书香里,云岩区,东南,有,2021年12月15日 ,普通住宅 ,7736
4室2厅,低楼层/共9层,98,平层/简装,80.0,栖霞小区,云岩区,北,无,2021年12月15日 ,普通住宅 ,8164
3室2厅,中楼层/共8层,107.22,平层/精装,87.0,鸿福景苑,云岩区,南北,无,2021年12月15日 ,普通住宅 ,8115
3室2厅,高楼层/共16层,143,暂无数据/精装,360.0,碧云山居,云岩区,南,无,2021年12月15日 ,普通住宅 ,25175
4室2厅,低楼层/共31层,149.72,暂无数据/毛坯,131.0,未来方舟G1组团,云岩区,东南,有,2021年12月15日 ,普通住宅 ,8750
1室1厅,低楼层/共40层,64,暂无数据/其他,64.0,百灵时尚天地,云岩区,南,无,2021年12月15日 ,普通住宅 ,10000
3室1厅,中楼层/共24层,154.66,暂无数据/其他,140.0,银海大厦,云岩区,南,有,2021年12月15日 ,普通住宅 ,9053
1室1厅,高楼层/共4层,44,暂无数据/其他,30.0,英烈路1号,云岩区,南北,无,2021年12月15日 ,普通住宅 ,6819
1室1厅,高楼层/共21层,47.99,平层/其他,36.0,中天Plus三组团,云岩区,西,有,2021年12月15日 ,普通住宅 ,7502
4室1厅,高楼层/共31层,165,平层/其他,166.0,未来方舟G1组团,云岩区,东南,有,2021年12月14日 ,普通住宅 ,10061
4室2厅,中楼层/共34层,137.86,平层/毛坯,124.0,中国普天中央国际·书香里,云岩区,东,无,2021年12月14日 ,普通住宅 ,8995
3室2厅,低楼层/共48层,114.19,平层/毛坯,99.0,中国普天中央国际,云岩区,东,有,2021年12月14日 ,普通住宅 ,8670
1室1厅,低楼层/共6层,58,平层/其他,46.0,达兴花园,云岩区,南北,无,2021年12月04日 ,普通住宅 ,7932
3室2厅,中楼层/共21层,111,平层/精装,128.0,兴隆誉峰,云岩区,东,有,2021年12月04日 ,普通住宅 ,11532
3室2厅,低楼层/共6层,133.32,平层/简装,85.0,檀溪谷,云岩区,东南,无,2021年12月04日 ,普通住宅 ,6376
2室1厅,低楼层/共11层,97,平层/精装,73.0,海泓蘭馨苑,云岩区,东南,有,2021年12月04日 ,普通住宅 ,7526
6室2厅,高楼层/共10层,140.89,平层/其他,215.0,龙砚东山,云岩区,南,有,2021年12月04日 ,普通住宅 ,15261
4室2厅,高楼层/共10层,113.47,平层/其他,167.0,龙砚东山,云岩区,南,有,2021年12月04日 ,普通住宅 ,14718
3室1厅,低楼层/共35层,85,平层/精装,68.0,万科城E区,云岩区,南,有,2021年12月03日 ,普通住宅 ,8000
2室2厅,低楼层/共30层,83.1,平层/其他,66.0,罗马假日小区,云岩区,北,有,2021年12月03日 ,普通住宅 ,7943
2室2厅,高楼层/共28层,98.65,平层/其他,95.0,金耀华庭,云岩区,东南,有,2021年12月03日 ,普通住宅 ,9631
2室1厅,高楼层/共43层,51.5,平层/精装,38.5,花果园X区,云岩区,东南,有,2021年12月03日 ,普通住宅 ,7476
2室1厅,低楼层/共32层,72.67,平层/其他,72.0,万科悦城,云岩区,南北,有,2021年12月03日 ,普通住宅 ,9908
3室2厅,中楼层/共30层,153.52,错层/其他,150.8,美佳大厦,云岩区,东南,有,2021年12月03日 ,普通住宅 ,9823
2室2厅,中楼层/共30层,92,平层/其他,85.0,天誉城,云岩区,南,有,2021年12月03日 ,普通住宅 ,9240
4室2厅,高楼层/共32层,138.97,平层/其他,236.0,万科玲珑湾,云岩区,东南,有,2021年12月03日 ,普通住宅 ,16983
3室2厅,高楼层/共4层,62,平层/其他,79.0,电台街71号,云岩区,东南,无,2021年12月03日 ,普通住宅 ,12742
2室1厅,中楼层/共43层,69.5,平层/简装,46.0,花果园X区,云岩区,东南,有,2021年12月03日 ,普通住宅 ,6619
3室2厅,中楼层/共32层,103,平层/精装,88.0,万科云岩大都会,云岩区,西南,无,2021年12月03日 ,普通住宅 ,8544
3室2厅,高楼层/共6层,98,平层/精装,80.0,蟠桃园A组团,云岩区,南北,无,2021年12月03日 ,普通住宅 ,8164
