区域,小区,总价,房型,面积,单价,朝向,楼层位置,装修情况,建筑时间,是否有电梯,产权类型,挂牌时间
同安,保利叁仟栋一期,260.0,2室2厅,68.84平米,37769,东南,中楼层/共40层,平层/精装,"板塔结合
                      ",有,"非共有
                                                                            ","2021年12月10日
                                                                            "
同安,芸溪居住公园(四期),369.0,3室2厅,131平米,28168,南 北,低楼层/共17层,暂无数据/精装,"2004年建/塔楼
                          ",,"非共有
                                                                            ","2021年12月10日
                                                                            "
同安,裕景新城,168.0,3室2厅,116.93平米,14368,东南,高楼层/共6层,暂无数据/其他,"暂无数据
                      ",,"非共有
                                                                            ","2021年12月10日
                                                                            "
同安,古龙御园,330.0,4室3厅,105.31平米,31337,南,低楼层/共19层,暂无数据/毛坯,"2010年建/板楼
                          ",,"共有
                                                                            ","2021年12月10日
                                                                            "
同安,古庄新城二期,286.0,3室2厅,138.77平米,20610,南,中楼层/共11层,暂无数据/简装,"板楼
                      ",,"非共有
                                                                            ","2021年12月10日
                                                                            "
同安,禹洲香溪里7#地块,95.0,1室1厅,46.29平米,20523,北,中楼层/共23层,暂无数据/精装,"板楼
                      ",有,"共有
                                                                            ","2021年12月10日
                                                                            "
同安,古庄新城一期,246.0,3室2厅,136.8平米,17983,东南 南,低楼层/共6层,暂无数据/简装,"板楼
                      ",,"非共有
                                                                            ","2021年12月10日
                                                                            "
同安,裕景新城,186.0,3室2厅,141.72平米,13125,南 北,中楼层/共7层,平层/毛坯,"2000年建/板塔结合
                          ",,"非共有
                                                                            ","2021年12月10日
                                                                            "
同安,禹洲香溪里4#地块,13.0,车位,36.95平米,3519,北,暂无数据,暂无数据/毛坯,"暂无数据
                      ",,"非共有
                                                                            ","2021年12月09日
                                                                            "
同安,洋坂里,125.0,3室2厅,91.26平米,13698,南,高楼层/共7层,暂无数据/简装,"暂无数据
                      ",,"共有
                                                                            ","2021年12月09日
                                                                            "
同安,长荣花园,142.5,1室1厅,59.2平米,24071,南,中楼层/共17层,平层/毛坯,"2015年建/板楼
                          ",有,"非共有
                                                                            ","2019年08月25日
                                                                            "
同安,阳光清境,370.0,4室2厅,155.04平米,23865,东南,高楼层/共18层,复式/精装,"2009年建/塔楼
                          ",有,"非共有
                                                                            ","2021年12月09日
                                                                            "
