职位名称,基本信息,公司名称,公司类型,公司规模,公司性质,公司福利,薪资,发布日期,职位详情页
大数据平台架构师（存储方向） (MJ000450),深圳-南山区|5-7年经验|本科|招1人,深圳市和讯华谷信息技术有限公司,互联网/电子商务,500-1000人,上市公司,,3-6万/月,10-22,https://jobs.51job.com/shenzhen-nsq/129616566.html?s=sou_sou_soulb&t=0_0
大数据架构师,深圳-南山区|5-7年经验|本科|招1人,深圳前海车米云图科技有限公司,互联网/电子商务,50-150人,民营公司,五险一金 员工旅游 年终奖金 晋升空间大,3-4万/月,10-21,https://jobs.51job.com/shenzhen-nsq/134319295.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招30人,深圳市德科信息技术有限公司,计算机服务(系统、数据服务、维修),1000-5000人,合资,员工旅游 年终奖金 加班补贴 绩效奖金 六险一金,1.5-2万/月,10-21,https://jobs.51job.com/shenzhen-ftq/132207493.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（中级/高级）,深圳-福田区|3-4年经验|大专|招2人,博彦科技（深圳）有限公司,计算机软件,10000人以上,上市公司,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作,1.5-2万/月,10-20,https://jobs.51job.com/shenzhen-ftq/134995242.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|大专|招2人,蔚莱（深圳）数字科技有限公司,计算机软件,50-150人,民营公司,五险一金 年终奖金 绩效奖金 带薪年假 节日福利 员工旅游 弹性工作 专业培训 周末双休,1.5-3万/月,10-20,https://jobs.51job.com/shenzhen-nsq/134719962.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|5-7年经验|本科|招若干人,中软国际科技服务有限公司,计算机软件,10000人以上,合资,五险一金 绩效奖金 定期体检 年终奖金 周末双休,1.6-2.3万/月,10-20,https://jobs.51job.com/shenzhen-ftq/134930703.html?s=sou_sou_soulb&t=0_0
Java开发工程师-大数据（北京）,北京|3-4年经验|本科|招2人,海纳英才信息技术（深圳）有限公司,互联网/电子商务,150-500人,民营公司,,1.5-1.9万/月,10-19,https://jobs.51job.com/beijing-ftq/135713818.html?s=sou_sou_soulb&t=0_1
高级大数据开发工程师,深圳-南山区|3-4年经验|大专|招2人,深圳市顶尖传诚科技有限公司,计算机软件,150-500人,民营公司,五险一金 通讯补贴 年终奖金 绩效奖金 专业培训,1.3-1.6万/月,10-19,https://jobs.51job.com/shenzhen-nsq/132690495.html?s=sou_sou_soulb&t=0_0
大数据平台开发工程师,深圳-南山区|1年经验|本科|招若干人,西人马（深圳）科技有限公司,电子技术/半导体/集成电路,50-150人,民营公司,五险一金 交通补贴 餐饮补贴 专业培训 定期体检 通讯补贴,1-3万/月,10-19,https://jobs.51job.com/shenzhen-nsq/126674284.html?s=sou_sou_soulb&t=0_0
高级大数据开发工程师,深圳-南山区|2年经验|本科|招2人,深圳市点创科技有限公司,电子技术/半导体/集成电路,50-150人,民营公司,周末双休 带薪年假 五险一金 节日福利 弹性工作 员工旅游 定期体检 下午茶,1.5-2万/月,10-19,https://jobs.51job.com/shenzhen-nsq/133338762.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,广州|5-7年经验|本科|招1人,深圳市华付信息技术有限公司,电子技术/半导体/集成电路,,民营公司,,2-2.5万/月,10-18,https://jobs.51job.com/guangzhou-thq/134064609.html?s=sou_sou_soulb&t=0_1
大数据开发工程师,深圳-南山区|3-4年经验|本科|招1人,深圳市锐明技术股份有限公司,电子技术/半导体/集成电路,1000-5000人,上市公司,,2-3万/月,10-18,https://jobs.51job.com/shenzhen-nsq/133921973.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招1人,尼尔林技术咨询（深圳）有限公司,专业服务(咨询、人力资源、财会),少于50人,合资,五险一金 员工旅游 专业培训 年终奖金,2.5-3万/月,10-17,https://jobs.51job.com/shenzhen-nsq/135803210.html?s=sou_sou_soulb&t=0_0
大数据架构师,深圳-南山区|5-7年经验|本科|招若干人,深圳市南羚贸易有限公司,贸易/进出口,1000-5000人,外资（非欧美）,五险一金 员工旅游 专业培训 出国机会 绩效奖金 年终奖金,1-2万/月,10-15,https://jobs.51job.com/shenzhen-nsq/127725648.html?s=sou_sou_soulb&t=0_0
大数据平台开发,深圳-南山区|3-4年经验|本科|招2人,深圳九章数据科技有限公司,计算机软件,50-150人,民营公司,,1.5-3万/月,10-15,https://jobs.51job.com/shenzhen-nsq/128829667.html?s=sou_sou_soulb&t=0_0
大数据分析经理/总监,深圳-宝安区|5-7年经验|本科|招1人,爱沃泰科技（深圳）有限公司,互联网/电子商务,150-500人,合资,五险一金 专业培训 年终奖金 弹性工作 员工旅游 部门团建 文娱生活 带薪年假 节日福利,2-4万/月,10-15,https://jobs.51job.com/shenzhen-baq/130295117.html?s=sou_sou_soulb&t=0_0
高级大数据工程师,深圳|5-7年经验|本科|招1人,深圳百果园实业（集团）股份有限公司,批发/零售,10000人以上,民营公司,五险一金 弹性工作 绩效奖金 年终奖金 定期体检,1.5-3万/月,10-14,https://jobs.51job.com/shenzhen/126983499.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-龙岗区|3-4年经验|本科|招1人,深圳市赛格车圣科技有限公司,计算机软件,500-1000人,民营公司,五险一金 免费班车 绩效奖金 餐饮补贴 带薪年假,1.5-3万/月,10-14,https://jobs.51job.com/shenzhen-lgq/133370233.html?s=sou_sou_soulb&t=0_0
工业大数据平台架构师,上海|3-4年经验|博士|招若干人,安徽海螺信息技术工程有限责任公司,计算机软件,50-150人,国企,补充医疗保险 绩效奖金 年终奖金 定期体检 六险两金 餐饮补贴 出差补助 带薪年休假 节日关怀 租房补贴,30-80万/年,10-13,https://jobs.51job.com/shanghai-jdq/132139408.html?s=sou_sou_soulb&t=0_1
大数据开发工程师,深圳-南山区|3-4年经验|本科|招1人,深圳绿米联创科技有限公司,电子技术/半导体/集成电路,1000-5000人,民营公司,,2-3万/月,10-13,https://jobs.51job.com/shenzhen-nsq/129474988.html?s=sou_sou_soulb&t=0_0
大数据高级开发工程师,深圳-龙岗区|3-4年经验|本科|招2人,广东钛马车联网信息科技有限公司,计算机软件,50-150人,民营公司,五险一金 餐饮补贴 专业培训 弹性工作 定期体检 周末双休,1.3-2万/月,10-13,https://jobs.51job.com/shenzhen-lgq/132946583.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-龙岗区|5-7年经验|本科|招若干人,福建纵腾网络有限公司,交通/运输/物流,1000-5000人,民营公司,,1.5-3万/月,10-09,https://jobs.51job.com/shenzhen-lgq/129299527.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招3人,深圳市东信时代信息技术有限公司,广告,500-1000人,民营公司,,2-3.5万/月,10-08,https://jobs.51job.com/shenzhen-nsq/135452002.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|大专|招3人,深圳市懿华软件有限公司,计算机软件,50-150人,民营公司,五险一金 员工旅游 年终奖金,1.5-2万/月,10-08,https://jobs.51job.com/shenzhen-ftq/120551159.html?s=sou_sou_soulb&t=0_0
大数据、人工智能高级程序员,深圳-龙华区|3-4年经验|大专|招1人,卡尔丹顿服饰股份有限公司,服装/纺织/皮革,1000-5000人,合资,五险一金 免费班车 专业培训 定期体检 员工旅游 带薪年假 绩效奖金 节日福利,1.2-1.5万/月,10-08,https://jobs.51job.com/shenzhen-lhq/127998844.html?s=sou_sou_soulb&t=0_0
BMS&云端大数据先进技术开发岗-专家岗 FC,北京|5-7年经验|硕士|招2人,三斧科技（北京）有限公司,汽车,少于50人,民营公司,周末双休 带薪年假 节日福利 出国机会 年终奖金 绩效奖金 员工旅游 专业培训 定期体检,3.5-7万/月,10-08,https://jobs.51job.com/beijing-ftq/132956235.html?s=sou_sou_soulb&t=0_1
5K起大数据初级开发员/6险,深圳-龙华区|无需经验|大专|招3人,深圳市优悦网络信息技术有限公司,计算机软件,50-150人,民营公司,,6-8千/月,10-08,https://jobs.51job.com/shenzhen-lhq/135664981.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-龙岗区|3-4年经验|大专|招2人,深圳市华杰科技有限公司,互联网/电子商务,500-1000人,民营公司,弹性工作 带薪年假 五险一金 绩效奖金 节日福利 包住宿,1.5-2万/月,10-07,https://jobs.51job.com/shenzhen-lgq/133004169.html?s=sou_sou_soulb&t=0_0
大数据经理,深圳-龙华区|2年经验|大专|招1人,深圳广旗汽车销售服务有限公司,贸易/进出口,150-500人,民营公司,五险一金 专业培训 餐饮补贴,0.8-1.2万/月,10-06,https://jobs.51job.com/shenzhen-lhq/133126470.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,东莞|3-4年经验|大专|招1人,东莞市奥海科技股份有限公司,电子技术/半导体/集成电路,5000-10000人,上市公司,五险一金 绩效奖金 年终奖金 弹性工作 专业培训 提供食宿,1-2万/月,10-06,https://jobs.51job.com/dongguan-txz/127535060.html?s=sou_sou_soulb&t=0_1
大数据工程师,深圳-龙华区|5-7年经验|本科|招6人,深圳市国电科技通信有限公司,计算机软件,500-1000人,国企,五险一金 补充医疗保险 专业培训 餐饮补贴 绩效奖金 定期体检,1.5-2万/月,10-01,https://jobs.51job.com/shenzhen-lhq/129520570.html?s=sou_sou_soulb&t=0_0
大数据开发工程师14,深圳-福田区|3-4年经验|本科|招3人,上海复深蓝软件股份有限公司,计算机软件,1000-5000人,上市公司,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 专业培训 餐饮补贴,2-2.5万/月,09-30,https://jobs.51job.com/shenzhen-ftq/132592223.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳-南山区|3-4年经验|本科|招1人,深圳市杰思谷科技有限公司,互联网/电子商务,150-500人,民营公司,,1.5-2万/月,09-29,https://jobs.51job.com/shenzhen-nsq/128257067.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|大专|招3人,深圳华云信息系统有限公司,计算机软件,150-500人,民营公司,五险一金 周末双休 定期体检 带薪年假 节日福利,1.5-2万/月,09-29,https://jobs.51job.com/shenzhen-ftq/134615013.html?s=sou_sou_soulb&t=0_0
大数据分析工程师,深圳-光明区|2年经验|本科|招1人,深圳市英威腾电气股份有限公司,电气/电力/水利,1000-5000人,上市公司,五险一金 员工旅游 专业培训 年终奖金 定期体检 通勤班车 周末双休 餐饮补贴,1.5-2.5万/月,09-28,https://jobs.51job.com/shenzhen-gmq/133863074.html?s=sou_sou_soulb&t=0_0
Java大数据开发工程师（长沙异地招聘）,长沙|2年经验|大专|招若干人,广州优亿信息科技有限公司,通信/电信/网络设备,50-150人,民营公司,绩效奖金 年终奖金 餐饮补贴,1-2万/月,09-28,https://jobs.51job.com/changsha-ylq/134098468.html?s=sou_sou_soulb&t=0_1
大数据开发工程师,深圳-南山区|3-4年经验|大专|招1人,深圳市懒人在线科技有限公司,互联网/电子商务,150-500人,民营公司,五险一金 专业培训 弹性工作 定期体检 员工旅游,1.5-2万/月,09-27,https://jobs.51job.com/shenzhen-nsq/129860662.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|1年经验|本科|招3人,酷派集团,通信/电信/网络设备,1000-5000人,外资（非欧美）,五险一金 餐饮补贴 年终奖金 弹性工作 节日福利 员工旅游 股票期权 定期体检,30-50万/年,09-27,https://jobs.51job.com/shenzhen-nsq/133893703.html?s=sou_sou_soulb&t=0_0
大数据架构师,深圳-南山区|5-7年经验|本科|招1人,深圳市非凡互动网络科技有限公司,计算机软件,少于50人,民营公司,弹性工作 节日福利 绩效奖金 五险一金 年终奖金 股票期权 专业培训 员工旅游,2.5-3万/月,09-27,https://jobs.51job.com/shenzhen-nsq/135456280.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招1人,深圳市鼎驰科技发展有限公司,计算机软件,150-500人,民营公司,专业培训 六险一金 交通补贴,1.5-1.6万/月,09-26,https://jobs.51job.com/shenzhen-ftq/132146809.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招5人,深圳哲彦信息技术有限公司,计算机软件,50-150人,民营公司,五险一金 员工旅游 绩效奖金 周末双休 定期体检,1-1.9万/月,09-26,https://jobs.51job.com/shenzhen-nsq/131649700.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|2年经验|本科|招1人,摩比可可（深圳）网络科技有限公司,互联网/电子商务,50-150人,民营公司,五险一金 员工旅游 节日福利 下午茶等 年终奖金 岗前培训 餐饮补贴,1.5-2万/月,09-25,https://jobs.51job.com/shenzhen-ftq/134422448.html?s=sou_sou_soulb&t=0_0
大数据开发助理,深圳-宝安区|无需经验|大专|招3人,四季新阳（深圳）科技有限公司,计算机软件,,民营公司,,6-8千/月,09-24,https://jobs.51job.com/shenzhen-baq/133609579.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳-福田区|3-4年经验|本科|招若干人,哈尔滨商悦企业管理服务有限公司,专业服务(咨询、人力资源、财会),,民营公司,五险一金 周末双休,1.5-2.5万/月,09-24,https://jobs.51job.com/shenzhen-ftq/130630181.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招若干人,深圳市道通科技股份有限公司,电子技术/半导体/集成电路,1000-5000人,民营公司,五险一金 绩效奖金 股票期权 专业培训 员工旅游 餐饮补贴,2.5-5万/月,09-23,https://jobs.51job.com/shenzhen-nsq/134245688.html?s=sou_sou_soulb&t=0_0
大数据开发工程师(BJ9P),深圳-南山区|3-4年经验|本科|招1人,深圳感臻智能股份有限公司,计算机软件,150-500人,民营公司,下午茶 五险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿 餐补 周末双休,2-2.5万/月,09-23,https://jobs.51job.com/shenzhen-nsq/132806852.html?s=sou_sou_soulb&t=0_0
物联网大数据开发工程师,东莞|1年经验|本科|招1人,广东电子工业研究院有限公司,计算机软件,50-150人,国企,五险一金 定期体检 餐饮补贴 绩效奖金 年终奖金,0.8-1.5万/月,09-23,https://jobs.51job.com/dongguan-sshq/129420774.html?s=sou_sou_soulb&t=0_1
大数据开发工程师+20-30K,深圳-南山区|3-4年经验|本科|招5人,中科享通（深圳）科技有限公司,计算机软件,,民营公司,,2-2.5万/月,09-17,https://jobs.51job.com/shenzhen-nsq/135257382.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招7人,神州数码信息服务股份有限公司,计算机服务(系统、数据服务、维修),5000-10000人,上市公司,,1-1.8万/月,09-17,https://jobs.51job.com/shenzhen-ftq/127604152.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（BI）,深圳-南山区|3-4年经验|大专|招1人,录晟网络科技（深圳）有限公司,计算机软件,,民营公司,五险一金 周末双休,1.7-2.5万/月,09-17,https://jobs.51job.com/shenzhen-nsq/135254148.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招1人,深圳瑞赛网络科技有限公司,计算机软件,少于50人,民营公司,五险一金 绩效奖金 年终奖金 补充公积金 弹性工作 股票期权 员工旅游,2-4万/月,09-13,https://jobs.51job.com/shenzhen-nsq/133358815.html?s=sou_sou_soulb&t=0_0
大数据报表工程师,深圳-南山区|3-4年经验|大专|招5人,深圳云创友翼科技有限公司,计算机软件,150-500人,民营公司,五险一金 年终奖金 绩效奖金 弹性工作 定期体检 专业培训 员工旅游,2-2.5万/月,09-10,https://jobs.51job.com/shenzhen-nsq/132026983.html?s=sou_sou_soulb&t=0_0
Python开发工程师（大数据方向）,深圳-南山区|3-4年经验|本科|招1人,深圳市丰巢网络技术有限公司,互联网/电子商务,1000-5000人,合资,五险一金 交通补贴 餐饮补贴 通讯补贴 员工旅游 年终奖金 弹性工作,1.5-2.5万/月,09-10,https://jobs.51job.com/shenzhen-nsq/125957310.html?s=sou_sou_soulb&t=0_0
