本数据由邢不行整理,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
180010.OF,-0.524384439,0.843963243,0.068269327,-0.262229282,0.021608461,0.323229314,0.111653778,0.356053453,-0.089141073,0.145211931,-0.251303119,0.377241619,0.603743927,-0.083597
519007.OF,-0.522682446,0.458677686,0.123229462,-0.21815889,-0.014516129,0.119476268,0.18128655,0.125,-0.116611661,-0.03611457,-0.093023256,0.158119658,0.134071341,0.063991
121003.OF,-0.520905923,0.744664032,-0.036978657,-0.259860312,0.018179295,0.016491754,0.280906409,0.19156286,-0.321464766,0.032291512,-0.160568231,0.456410256,0.528638498,0.154984
519003.OF,-0.520037279,0.52038835,0.075351213,-0.204275534,-0.032835821,0.078703704,0.035765379,0.371546961,-0.01510574,0.115541922,-0.224418251,0.539379475,0.691089312,0.17199
460001.OF,-0.519485771,0.564493099,0.06616976,-0.268654587,0.002145923,0.185322172,0.20101823,0.316286066,-0.207769419,0.30132199,-0.260654453,0.394040657,0.818937704,0.19887
260101.OF,-0.519207462,0.532544118,-0.010856644,-0.198163167,0.142872928,0.396856794,0.094045764,0.610184842,-0.082760813,0.277214612,-0.196421332,0.470193881,0.578411006,0.088822
160603.OF,-0.517502365,0.690196078,0.113689095,-0.239583333,0.024657534,0.061497326,0.27581864,0.426186986,-0.074142418,0.02265625,-0.20855615,0.491231165,0.799196787,0.003848
121005.OF,-0.517204903,0.805166112,0.016399187,-0.206883102,0.028701572,0.075027128,0.158449522,0.33841547,-0.053333458,0.04632107,-0.171840567,0.493080364,0.608060302,-0.041395
270002.OF,-0.516812507,0.688966025,0.06576191,-0.212055983,0.05704562,0.126331928,0.000942508,0.495232754,0.005527369,0.206122262,-0.07786934,0.312064249,0.276217392,-0.060705
050004.OF,-0.516612288,0.613782781,-0.074236421,-0.212587027,0.071434824,-0.049383995,0.316413537,0.375402832,-0.084365601,0.086393461,-0.197275668,0.354858804,0.22201027,-0.078721
519035.OF,-0.515256342,0.668801464,0.060526316,-0.234801489,0.089717606,-0.01450713,0.279063915,0.694963604,-0.275027567,0.327329491,-0.318316145,0.757498009,0.675105125,0.037566
519029.OF,-0.515151515,0.490808824,0.037607891,-0.266191325,0.007287449,0.304662379,0.084613598,0.444309927,-0.265716681,-0.018835616,-0.264688773,0.462816456,0.401297999,0.047086
210001.OF,-0.514318593,0.621941436,0.04358006,-0.276121452,0.034489051,0.162462515,0.027010622,0.387706856,0.023530664,0.102569437,-0.255195262,0.29167229,0.389341693,-0.045795
070011.OF,-0.513442287,0.726902174,0.199066387,-0.234819917,0.106924644,0.130388035,0.147997993,0.591903047,-0.25008843,0.119865884,-0.321247011,0.422434368,0.542560968,-0.03549
070003.OF,-0.512987013,0.420740741,-0.055392366,-0.176339286,0.006775068,0.137379533,0.123438427,0.307119754,-0.111680797,0.220037453,-0.216691437,0.324777887,0.36233098,-0.065893
240009.OF,-0.512160179,0.806818996,-0.145054509,-0.313409997,0.062354582,0.389388138,0.136332958,0.914472382,-0.263366081,-0.009897168,-0.179894367,0.463520055,0.674128766,0.168542
200006.OF,-0.510745186,0.879444761,-0.080534197,-0.165382923,0.041529334,0.015949367,0.051208572,0.266800996,-0.177020958,0.068099136,-0.162001064,0.391972564,0.483073273,-0.070141
213003.OF,-0.510170524,0.660624415,-0.129559304,-0.225649351,0.057127883,0.013014378,0.614957085,0.595322394,-0.263004793,-0.064417763,-0.293236912,0.335639141,0.537872249,0.025268
350002.OF,-0.50870047,0.586219144,0.183609494,-0.268743214,0.033206458,0.041412602,0.157599414,0.075026344,-0.337678886,0.291697499,-0.357241063,0.312299465,0.209997283,0.193871
519068.OF,-0.508614748,0.637893663,0.07510291,-0.215193383,0.047614324,0.169985237,0.191044641,0.843863563,-0.108371542,0.451661899,-0.247828434,0.487701442,0.648155107,-0.129988
378010.OF,-0.508142927,0.510864399,-0.098417776,-0.238405981,0.142142384,0.183219178,-0.073082489,0.153864169,-0.316081456,0.247403304,-0.136680733,0.412561811,0.606730052,0.152463
162605.OF,-0.50772929,0.575,-0.108465608,-0.216617211,0.066919192,0.233136095,0.104606526,0.379669852,-0.050628145,0.555172414,-0.167744409,0.690387839,0.930337079,-0.090627
160105.OF,-0.505215944,0.532295341,0.069820964,-0.232949321,0.018892367,0.081373172,0.274591767,0.436324107,-0.101006487,0.150010282,-0.278309271,0.285533637,0.336372983,0.046569
050009.OF,-0.504923903,0.743218807,-0.063916272,-0.306878307,-0.049618321,0.108433735,0.157608696,0.363067293,-0.272101033,0.055205047,-0.307922272,0.611231102,0.762734584,-0.036502
180012.OF,-0.504824946,0.918827509,0.156753606,-0.284386754,0.004122436,0.088679052,0.161025738,0.400974421,0.074595722,0.530960086,-0.224527903,0.628640225,0.877817451,0.030349
161903.OF,-0.504250588,0.665239393,-0.035661164,-0.281417696,-0.034734283,-0.010615329,0.026913984,0.770143439,0.015870149,0.008226721,-0.126566865,0.898021309,0.973222209,0.049955
050201.OF,-0.503531786,0.615853659,-0.085534591,-0.096286107,0.00456621,-0.084848485,0.218543046,0.038043478,-0.108638743,-0.04845815,-0.205246914,0.458252427,0.41011984,-0.017618
420001.OF,-0.503008812,0.348540541,0.068462402,-0.191626651,-0.113049935,0.01213897,0.165425972,0.472320795,-0.235839961,0.186721337,-0.215415282,0.419715447,0.404676688,-0.017581
020003.OF,-0.500589804,0.72693032,0.099950895,-0.189209273,-0.121791172,0.124137931,0.085889571,0.814685861,0.033445174,0.210021606,-0.372854914,0.430348259,0.619130435,-0.002671
519694.OF,-0.500184347,0.716136195,-0.097800302,-0.228397275,0.102230483,0.053962901,0.0888,0.474554985,-0.141849855,0.175688738,-0.155521218,0.494783304,0.495446798,-0.020808
